user_id,item_id,rating,timestamp
1,101,5,1630000000
1,102,4,1630000100
1,103,3,1630000200
1,104,2,1630000300
1,105,5,1630000400
2,101,4,1630000500
2,106,5,1630000600
2,107,3,1630000700
2,108,4,1630000800
2,109,2,1630000900
3,110,5,1630001000
3,111,4,1630001100
3,112,3,1630001200
3,113,5,1630001300
3,114,2,1630001400
4,115,5,1630001500
4,116,4,1630001600
4,117,3,1630001700
4,118,5,1630001800
4,119,2,1630001900
5,120,5,1630002000
5,121,4,1630002100
5,122,3,1630002200
5,123,5,1630002300
5,124,2,1630002400
6,125,5,1630002500
6,126,4,1630002600
6,127,3,1630002700
6,128,5,1630002800
6,129,2,1630002900
7,130,5,1630003000
7,131,4,1630003100
7,132,3,1630003200
7,133,5,1630003300
7,134,2,1630003400
8,135,5,1630003500
8,136,4,1630003600
8,137,3,1630003700
8,138,5,1630003800
8,139,2,1630003900
9,140,5,1630004000
9,141,4,1630004100
9,142,3,1630004200
9,143,5,1630004300
9,144,2,1630004400
10,145,5,1630004500
10,146,4,1630004600
10,147,3,1630004700
10,148,5,1630004800
10,149,2,1630004900
11,150,5,1630005000
11,151,4,1630005100
11,152,3,1630005200
11,153,5,1630005300
11,154,2,1630005400
12,155,5,1630005500
12,156,4,1630005600
12,157,3,1630005700
12,158,5,1630005800
12,159,2,1630005900
13,160,5,1630006000
13,161,4,1630006100
13,162,3,1630006200
13,163,5,1630006300
13,164,2,1630006400
14,165,5,1630006500
14,166,4,1630006600
14,167,3,1630006700
14,168,5,1630006800
14,169,2,1630006900
15,170,5,1630007000
15,171,4,1630007100
15,172,3,1630007200
15,173,5,1630007300
15,174,2,1630007400
16,175,5,1630007500
16,176,4,1630007600
16,177,3,1630007700
16,178,5,1630007800
16,179,2,1630007900
17,180,5,1630008000
17,181,4,1630008100
17,182,3,1630008200
17,183,5,1630008300
17,184,2,1630008400
18,185,5,1630008500
18,186,4,1630008600
18,187,3,1630008700
18,188,5,1630008800
18,189,2,1630008900
19,190,5,1630009000
19,191,4,1630009100
19,192,3,1630009200
19,193,5,1630009300
19,194,2,1630009400
20,195,5,1630009500
20,196,4,1630009600
20,197,3,1630009700
20,198,5,1630009800
20,199,2,1630009900
